date,pm25,pm10,o3,no2,so2,co
01-05-2022,76.0,63.0,39.0,6.0,4.0,14.0
02-05-2022,106.0,52.0,13.0,1.0,5.0,6.0
03-05-2022,90.0,50.0,8.0,1.0,5.0,7.0
04-05-2022,83.0,57.0,7.0,6.0,6.0,11.0
05-05-2022,98.0,53.0,8.0,2.0,5.0,9.0
06-05-2022,92.0,60.0,15.0,4.0,5.0,6.0
07-05-2022,108.0,60.0,21.0,2.0,5.0,7.0
08-05-2022,111.0,69.0,19.0,5.0,5.0,9.0
09-05-2022,131.0,57.0,7.0,4.0,6.0,10.0
10-05-2022,104.0,55.0,8.0,7.0,7.0,9.0
11-05-2022,95.0,50.0,7.0,4.0,6.0,7.0
12-05-2022,83.0,45.0,13.0,4.0,6.0,9.0
13-05-2022,76.0,51.0,19.0,4.0,6.0,11.0
14-05-2022,84.0,44.0,18.0,7.0,7.0,11.0
15-05-2022,71.0,35.0,27.0,4.0,5.0,11.0
16-05-2022,57.0,48.0,22.0,6.0,7.0,7.0
01-04-2022,62.0,37.0,22.0,1.0,7.0,10.0
02-04-2022,60.0,36.0,25.0,1.0,7.0,10.0
03-04-2022,59.0,34.0,36.0,1.0,7.0,13.0
04-04-2022,55.0,33.0,15.0,6.0,13.0,21.0
05-04-2022,53.0,30.0,1.0,4.0,12.0,8.0
06-04-2022,49.0,48.0,22.0,6.0,7.0,7.0
09-04-2022,72.0,30.0,5.0,1.0,5.0,8.0
10-04-2022,47.0,34.0,8.0,4.0,4.0,10.0
11-04-2022,56.0,27.0,8.0,1.0,4.0,5.0
12-04-2022,39.0,48.0,22.0,6.0,7.0,7.0
21-04-2022,59.0,33.0,11.0,1.0,5.0,16.0
22-04-2022,54.0,34.0,13.0,1.0,5.0,14.0
23-04-2022,55.0,32.0,13.0,1.0,5.0,12.0
24-04-2022,51.0,36.0,12.0,4.0,5.0,18.0
25-04-2022,56.0,39.0,39.0,5.0,5.0,16.0
26-04-2022,64.0,36.0,27.0,2.0,4.0,18.0
27-04-2022,58.0,36.0,13.0,1.0,4.0,16.0
28-04-2022,58.0,39.0,95.0,1.0,4.0,13.0
29-04-2022,63.0,44.0,80.0,2.0,4.0,13.0
30-04-2022,73.0,46.0,16.0,1.0,5.0,14.0
01-03-2022,92.0,60.0,20.0,6.0,6.0,13.0
02-03-2022,111.0,63.0,23.0,6.0,7.0,12.0
03-03-2022,120.0,63.0,29.0,6.0,7.0,16.0
04-03-2022,119.0,59.0,39.0,7.0,7.0,16.0
05-03-2022,106.0,53.0,31.0,5.0,7.0,14.0
06-03-2022,89.0,52.0,30.0,4.0,7.0,12.0
07-03-2022,88.0,63.0,22.0,6.0,7.0,8.0
08-03-2022,116.0,64.0,28.0,5.0,7.0,9.0
09-03-2022,120.0,63.0,24.0,6.0,6.0,8.0
10-03-2022,114.0,59.0,25.0,6.0,6.0,10.0
11-03-2022,107.0,61.0,19.0,7.0,7.0,12.0
12-03-2022,112.0,63.0,32.0,7.0,6.0,10.0
13-03-2022,119.0,67.0,73.0,6.0,7.0,9.0
14-03-2022,128.0,66.0,98.0,7.0,6.0,9.0
15-03-2022,129.0,69.0,40.0,7.0,7.0,11.0
16-03-2022,134.0,72.0,130.0,7.0,7.0,11.0
17-03-2022,137.0,59.0,200.0,4.0,7.0,11.0
18-03-2022,105.0,59.0,220.0,3.0,7.0,14.0
19-03-2022,106.0,59.0,79.0,3.0,7.0,13.0
20-03-2022,106.0,66.0,116.0,3.0,7.0,11.0
21-03-2022,127.0,65.0,86.0,8.0,8.0,12.0
22-03-2022,124.0,61.0,22.0,2.0,7.0,11.0
23-03-2022,116.0,57.0,2.0,2.0,6.0,10.0
24-03-2022,101.0,53.0,22.0,2.0,7.0,10.0
25-03-2022,90.0,52.0,1.0,2.0,7.0,10.0
