date,pm25,pm10,o3,no2,so2,co
01-05-2022,192.0,170.0,67.0,15.0,7.0,10.0
02-05-2022,158.0,280.0,73.0,14.0,9.0,12.0
03-05-2022,170.0,187.0,63.0,18.0,7.0,11.0
04-05-2022,152.0,164.0,84.0,23.0,9.0,10.0
05-05-2022,153.0,305.0,63.0,27.0,9.0,12.0
06-05-2022,196.0,269.0,88.0,31.0,12.0,15.0
07-05-2022,177.0,160.0,85.0,19.0,7.0,12.0
08-05-2022,164.0,115.0,71.0,16.0,8.0,10.0
09-05-2022,154.0,115.0,75.0,17.0,7.0,10.0
10-05-2022,150.0,114.0,85.0,15.0,8.0,10.0
11-05-2022,145.0,129.0,83.0,19.0,7.0,12.0
12-05-2022,149.0,153.0,74.0,11.0,9.0,8.0
14-05-2022,237.0,382.0,35.0,30.0,15.0,12.0
15-05-2022,195.0,375.0,4.0,33.0,11.0,11.0
01-04-2022,186.0,282.0,64.0,41.0,15.0,15.0
02-04-2022,187.0,305.0,52.0,31.0,8.0,11.0
03-04-2022,183.0,294.0,60.0,24.0,16.0,11.0
04-04-2022,203.0,273.0,51.0,27.0,23.0,11.0
05-04-2022,213.0,382.0,38.0,27.0,23.0,14.0
06-04-2022,236.0,413.0,54.0,25.0,22.0,13.0
07-04-2022,246.0,345.0,63.0,22.0,26.0,12.0
08-04-2022,211.0,371.0,61.0,22.0,25.0,14.0
09-04-2022,238.0,303.0,62.0,16.0,16.0,9.0
10-04-2022,176.0,333.0,65.0,20.0,24.0,12.0
11-04-2022,223.0,323.0,41.0,23.0,16.0,13.0
12-04-2022,198.0,422.0,34.0,21.0,11.0,10.0
13-04-2022,185.0,365.0,65.0,9.0,11.0,6.0
14-04-2022,164.0,178.0,73.0,16.0,10.0,9.0
15-04-2022,156.0,403.0,86.0,19.0,8.0,12.0
16-04-2022,197.0,331.0,92.0,21.0,10.0,11.0
17-04-2022,194.0,442.0,71.0,24.0,14.0,15.0
18-04-2022,231.0,460.0,27.0,12.0,8.0,8.0
19-04-2022,175.0,346.0,29.0,10.0,14.0,7.0
21-04-2022,214.0,207.0,55.0,13.0,9.0,6.0
22-04-2022,146.0,349.0,68.0,17.0,16.0,7.0
23-04-2022,232.0,396.0,70.0,14.0,19.0,9.0
24-04-2022,256.0,364.0,63.0,10.0,16.0,8.0
25-04-2022,232.0,250.0,61.0,15.0,11.0,7.0
26-04-2022,174.0,463.0,73.0,20.0,22.0,11.0
27-04-2022,297.0,396.0,80.0,19.0,13.0,10.0
28-04-2022,275.0,482.0,52.0,19.0,20.0,10.0
29-04-2022,301.0,401.0,52.0,22.0,20.0,12.0
30-04-2022,247.0,323.0,64.0,19.0,8.0,12.0
01-03-2022,181.0,190.0,47.0,27.0,6.0,11.0
02-03-2022,211.0,137.0,51.0,25.0,3.0,9.0
03-03-2022,171.0,109.0,32.0,14.0,6.0,7.0
04-03-2022,160.0,102.0,37.0,17.0,6.0,8.0
05-03-2022,151.0,123.0,46.0,22.0,7.0,10.0
06-03-2022,176.0,279.0,62.0,34.0,7.0,14.0
07-03-2022,209.0,302.0,32.0,28.0,8.0,11.0
08-03-2022,240.0,191.0,6.0,24.0,12.0,9.0
09-03-2022,163.0,135.0,19.0,19.0,11.0,9.0
10-03-2022,156.0,164.0,30.0,20.0,7.0,9.0
11-03-2022,179.0,179.0,35.0,23.0,10.0,9.0
