date,pm25,pm10,o3,no2,so2,co
01-05-2022,175.0,105.0,33.0,10.0,1.0,5.0
02-05-2022,166.0,106.0,15.0,10.0,2.0,5.0
03-05-2022,167.0,99.0,12.0,10.0,1.0,6.0
04-05-2022,175.0,97.0,24.0,15.0,3.0,10.0
05-05-2022,161.0,94.0,42.0,18.0,2.0,14.0
06-05-2022,162.0,90.0,39.0,13.0,3.0,16.0
07-05-2022,152.0,83.0,34.0,12.0,2.0,13.0
08-05-2022,155.0,89.0,31.0,13.0,2.0,14.0
09-05-2022,154.0,97.0,25.0,13.0,2.0,14.0
10-05-2022,158.0,83.0,27.0,13.0,2.0,14.0
11-05-2022,149.0,100.0,13.0,14.0,2.0,14.0
12-05-2022,161.0,93.0,14.0,17.0,3.0,18.0
13-05-2022,147.0,122.0,13.0,14.0,2.0,14.0
14-05-2022,168.0,104.0,14.0,14.0,2.0,14.0
15-05-2022,158.0,126.0,13.0,11.0,2.0,15.0
16-05-2022,168.0,123.0,23.0,18.0,3.0,12.0
01-04-2022,177.0,103.0,22.0,21.0,2.0,18.0
02-04-2022,170.0,84.0,19.0,25.0,3.0,18.0
03-04-2022,178.0,78.0,14.0,23.0,3.0,16.0
04-04-2022,160.0,88.0,15.0,23.0,2.0,15.0
05-04-2022,165.0,143.0,19.0,25.0,2.0,18.0
06-04-2022,145.0,164.0,24.0,30.0,2.0,19.0
07-04-2022,171.0,135.0,21.0,28.0,2.0,21.0
08-04-2022,168.0,184.0,24.0,27.0,2.0,22.0
09-04-2022,183.0,162.0,18.0,20.0,2.0,19.0
10-04-2022,178.0,152.0,22.0,17.0,2.0,17.0
11-04-2022,176.0,139.0,18.0,15.0,2.0,17.0
12-04-2022,170.0,140.0,25.0,22.0,2.0,21.0
13-04-2022,169.0,147.0,20.0,16.0,2.0,17.0
14-04-2022,173.0,156.0,24.0,16.0,3.0,14.0
15-04-2022,190.0,156.0,37.0,18.0,3.0,15.0
16-04-2022,184.0,144.0,38.0,22.0,3.0,16.0
17-04-2022,182.0,153.0,42.0,28.0,4.0,19.0
18-04-2022,198.0,184.0,44.0,22.0,6.0,22.0
19-04-2022,206.0,175.0,34.0,20.0,3.0,16.0
20-04-2022,205.0,162.0,27.0,12.0,4.0,14.0
21-04-2022,176.0,215.0,27.0,15.0,3.0,15.0
22-04-2022,219.0,135.0,31.0,17.0,6.0,14.0
23-04-2022,184.0,163.0,37.0,20.0,3.0,13.0
