date,pm25,pm10,o3,no2,so2,co
01-05-2022,57.0,62.0,16.0,3.0,4.0,4.0
02-05-2022,65.0,54.0,16.0,3.0,4.0,4.0
03-05-2022,67.0,82.0,16.0,5.0,4.0,4.0
04-05-2022,68.0,72.0,16.0,3.0,4.0,4.0
05-05-2022,70.0,91.0,16.0,2.0,4.0,4.0
06-05-2022,112.0,95.0,16.0,3.0,4.0,4.0
07-05-2022,120.0,82.0,16.0,3.0,4.0,4.0
08-05-2022,89.0,67.0,16.0,2.0,4.0,4.0
09-05-2022,66.0,70.0,16.0,2.0,4.0,4.0
10-05-2022,66.0,67.0,16.0,1.0,4.0,4.0
11-05-2022,71.0,78.0,16.0,2.0,4.0,4.0
12-05-2022,84.0,94.0,16.0,1.0,4.0,4.0
13-05-2022,88.0,99.0,16.0,1.0,5.0,4.0
14-05-2022,117.0,81.0,16.0,1.0,5.0,4.0
15-05-2022,82.0,138.0,16.0,1.0,5.0,4.0
16-05-2022,82.0,106.0,25.0,19.0,17.0,4.0
01-04-2022,181.0,106.0,25.0,19.0,17.0,4.0
04-04-2022,85.0,106.0,25.0,19.0,17.0,4.0
08-04-2022,74.0,75.0,18.0,12.0,20.0,1.0
09-04-2022,78.0,80.0,25.0,11.0,21.0,4.0
10-04-2022,87.0,93.0,22.0,15.0,21.0,2.0
11-04-2022,83.0,109.0,26.0,18.0,21.0,4.0
12-04-2022,118.0,123.0,26.0,18.0,21.0,4.0
13-04-2022,95.0,83.0,22.0,14.0,21.0,2.0
14-04-2022,76.0,90.0,22.0,14.0,21.0,2.0
15-04-2022,72.0,112.0,20.0,12.0,15.0,2.0
16-04-2022,147.0,88.0,14.0,5.0,5.0,3.0
17-04-2022,78.0,87.0,144.0,5.0,5.0,6.0
18-04-2022,76.0,75.0,16.0,5.0,4.0,1.0
19-04-2022,73.0,76.0,16.0,6.0,4.0,2.0
20-04-2022,88.0,91.0,16.0,11.0,4.0,4.0
21-04-2022,142.0,90.0,16.0,13.0,4.0,3.0
22-04-2022,139.0,83.0,25.0,11.0,5.0,4.0
23-04-2022,134.0,69.0,25.0,7.0,4.0,4.0
24-04-2022,95.0,88.0,16.0,10.0,5.0,3.0
25-04-2022,119.0,158.0,16.0,8.0,5.0,2.0
26-04-2022,295.0,117.0,16.0,8.0,5.0,2.0
27-04-2022,107.0,88.0,16.0,9.0,5.0,2.0
28-04-2022,108.0,56.0,16.0,6.0,5.0,4.0
29-04-2022,73.0,64.0,16.0,5.0,5.0,2.0
30-04-2022,82.0,43.0,16.0,3.0,5.0,1.0
01-03-2022,260.0,362.0,124.0,43.0,69.0,9.0
02-03-2022,234.0,212.0,76.0,38.0,69.0,8.0
03-03-2022,246.0,127.0,67.0,29.0,46.0,7.0
04-03-2022,135.0,149.0,72.0,42.0,6.0,10.0
05-03-2022,158.0,136.0,73.0,36.0,5.0,9.0
06-03-2022,166.0,175.0,52.0,48.0,7.0,10.0
07-03-2022,171.0,155.0,80.0,33.0,7.0,8.0
08-03-2022,171.0,127.0,58.0,33.0,8.0,8.0
09-03-2022,170.0,142.0,76.0,35.0,6.0,9.0
10-03-2022,168.0,148.0,66.0,35.0,7.0,9.0
11-03-2022,169.0,110.0,81.0,33.0,6.0,6.0
12-03-2022,142.0,167.0,72.0,29.0,6.0,7.0
13-03-2022,150.0,141.0,66.0,35.0,17.0,8.0
14-03-2022,142.0,153.0,90.0,34.0,17.0,8.0
15-03-2022,160.0,155.0,66.0,39.0,17.0,7.0
16-03-2022,153.0,154.0,73.0,37.0,17.0,8.0
17-03-2022,162.0,121.0,68.0,19.0,17.0,7.0
18-03-2022,155.0,99.0,29.0,25.0,17.0,4.0
19-03-2022,119.0,103.0,21.0,18.0,17.0,4.0
20-03-2022,109.0,127.0,34.0,21.0,17.0,4.0
21-03-2022,123.0,127.0,59.0,30.0,17.0,7.0
22-03-2022,149.0,157.0,58.0,30.0,17.0,6.0
23-03-2022,138.0,178.0,45.0,39.0,17.0,7.0
24-03-2022,160.0,104.0,26.0,24.0,17.0,4.0
25-03-2022,108.0,103.0,25.0,23.0,5.0,3.0
26-03-2022,106.0,114.0,25.0,17.0,5.0,2.0
27-03-2022,676.0,120.0,22.0,17.0,5.0,3.0
28-03-2022,211.0,122.0,26.0,23.0,6.0,4.0
29-03-2022,105.0,173.0,24.0,22.0,7.0,3.0
30-03-2022,104.0,108.0,22.0,22.0,10.0,5.0
31-03-2022,110.0,229.0,22.0,19.0,16.0,4.0
01-02-2022,246.0,238.0,29.0,37.0,37.0,9.0
02-02-2022,206.0,209.0,4.0,20.0,38.0,6.0
03-02-2022,193.0,249.0,25.0,3.0,11.0,4.0
04-02-2022,183.0,181.0,46.0,9.0,15.0,8.0
05-02-2022,169.0,106.0,25.0,19.0,17.0,4.0
07-02-2022,121.0,104.0,32.0,19.0,10.0,3.0
08-02-2022,117.0,112.0,40.0,20.0,2.0,4.0
09-02-2022,144.0,122.0,57.0,28.0,16.0,6.0
10-02-2022,161.0,104.0,65.0,22.0,20.0,5.0
11-02-2022,141.0,117.0,61.0,33.0,25.0,7.0
12-02-2022,154.0,176.0,65.0,35.0,22.0,8.0
13-02-2022,175.0,104.0,50.0,23.0,19.0,6.0
14-02-2022,140.0,95.0,36.0,21.0,27.0,4.0
15-02-2022,104.0,115.0,27.0,22.0,55.0,5.0
16-02-2022,101.0,126.0,30.0,27.0,62.0,5.0
17-02-2022,122.0,138.0,34.0,31.0,39.0,7.0
18-02-2022,145.0,180.0,40.0,41.0,15.0,9.0
19-02-2022,165.0,127.0,55.0,25.0,22.0,5.0
20-02-2022,153.0,138.0,48.0,40.0,12.0,10.0
21-02-2022,164.0,129.0,43.0,34.0,3.0,4.0
22-02-2022,143.0,159.0,32.0,36.0,9.0,9.0
23-02-2022,184.0,199.0,83.0,41.0,23.0,14.0
24-02-2022,177.0,262.0,64.0,47.0,28.0,8.0
25-02-2022,219.0,208.0,45.0,37.0,28.0,8.0
26-02-2022,219.0,206.0,17.0,35.0,30.0,9.0
27-02-2022,300.0,282.0,71.0,47.0,55.0,7.0
28-02-2022,290.0,172.0,42.0,33.0,52.0,8.0
03-01-2022,169.0,123.0,38.0,34.0,7.0,9.0
04-01-2022,172.0,130.0,28.0,32.0,7.0,11.0
05-01-2022,186.0,108.0,20.0,23.0,7.0,6.0
06-01-2022,169.0,124.0,19.0,31.0,7.0,8.0
07-01-2022,175.0,99.0,16.0,23.0,7.0,6.0
08-01-2022,159.0,68.0,28.0,12.0,7.0,3.0
09-01-2022,97.0,94.0,26.0,23.0,8.0,4.0
10-01-2022,127.0,120.0,45.0,37.0,8.0,6.0
11-01-2022,176.0,111.0,34.0,29.0,8.0,6.0
12-01-2022,165.0,130.0,41.0,28.0,8.0,7.0
13-01-2022,179.0,146.0,31.0,31.0,14.0,8.0
14-01-2022,183.0,122.0,31.0,24.0,21.0,7.0
15-01-2022,171.0,108.0,37.0,20.0,21.0,7.0
16-01-2022,162.0,102.0,38.0,22.0,47.0,6.0
17-01-2022,162.0,126.0,34.0,28.0,45.0,8.0
18-01-2022,169.0,139.0,36.0,40.0,28.0,8.0
19-01-2022,177.0,134.0,32.0,31.0,32.0,7.0
20-01-2022,159.0,101.0,16.0,23.0,41.0,5.0
21-01-2022,135.0,108.0,11.0,17.0,34.0,4.0
22-01-2022,155.0,459.0,29.0,15.0,36.0,1.0
23-01-2022,824.0,238.0,37.0,17.0,28.0,3.0
24-01-2022,161.0,225.0,31.0,32.0,17.0,6.0
25-01-2022,173.0,167.0,50.0,24.0,5.0,7.0
26-01-2022,169.0,535.0,44.0,30.0,9.0,8.0
27-01-2022,166.0,319.0,44.0,22.0,41.0,5.0
28-01-2022,173.0,113.0,55.0,26.0,61.0,7.0
29-01-2022,150.0,129.0,52.0,41.0,48.0,9.0
30-01-2022,160.0,144.0,41.0,40.0,31.0,12.0
31-01-2022,172.0,223.0,30.0,39.0,33.0,9.0
01-10-2021,76.0,74.0,25.0,8.0,17.0,4.0
02-10-2021,87.0,255.0,25.0,12.0,17.0,4.0
03-10-2021,120.0,73.0,25.0,10.0,17.0,4.0
04-10-2021,125.0,73.0,25.0,10.0,17.0,4.0
05-10-2021,104.0,52.0,25.0,16.0,17.0,4.0
06-10-2021,102.0,142.0,25.0,14.0,17.0,4.0
07-10-2021,105.0,59.0,25.0,12.0,17.0,4.0
08-10-2021,154.0,53.0,25.0,10.0,17.0,4.0
09-10-2021,70.0,88.0,25.0,13.0,17.0,4.0
10-10-2021,90.0,55.0,25.0,12.0,17.0,4.0
11-10-2021,101.0,67.0,25.0,21.0,17.0,4.0
12-10-2021,195.0,149.0,25.0,20.0,17.0,4.0
13-10-2021,142.0,123.0,25.0,20.0,17.0,4.0
14-10-2021,167.0,96.0,25.0,39.0,17.0,4.0
15-10-2021,153.0,95.0,25.0,31.0,17.0,4.0
16-10-2021,149.0,153.0,25.0,32.0,17.0,4.0
17-10-2021,158.0,114.0,25.0,24.0,17.0,4.0
18-10-2021,120.0,131.0,25.0,11.0,37.0,4.0
19-10-2021,102.0,80.0,25.0,10.0,17.0,4.0
20-10-2021,103.0,106.0,25.0,19.0,17.0,4.0
26-10-2021,335.0,106.0,25.0,19.0,17.0,4.0
29-10-2021,179.0,96.0,25.0,34.0,11.0,4.0
30-10-2021,135.0,104.0,25.0,40.0,11.0,4.0
31-10-2021,160.0,200.0,25.0,58.0,11.0,4.0
01-11-2021,180.0,202.0,25.0,42.0,11.0,4.0
02-11-2021,178.0,109.0,25.0,35.0,11.0,4.0
03-11-2021,174.0,149.0,25.0,31.0,11.0,4.0
04-11-2021,202.0,168.0,25.0,28.0,11.0,4.0
05-11-2021,197.0,79.0,25.0,29.0,11.0,4.0
06-11-2021,165.0,90.0,25.0,29.0,11.0,4.0
07-11-2021,152.0,163.0,25.0,34.0,11.0,4.0
08-11-2021,176.0,111.0,25.0,36.0,11.0,4.0
09-11-2021,168.0,98.0,25.0,33.0,11.0,4.0
10-11-2021,161.0,110.0,49.0,34.0,11.0,6.0
11-11-2021,167.0,111.0,41.0,36.0,11.0,7.0
12-11-2021,163.0,129.0,39.0,31.0,10.0,7.0
13-11-2021,173.0,154.0,33.0,30.0,10.0,8.0
14-11-2021,199.0,141.0,29.0,34.0,10.0,9.0
15-11-2021,182.0,114.0,29.0,28.0,10.0,7.0
16-11-2021,176.0,101.0,17.0,30.0,10.0,6.0
17-11-2021,149.0,86.0,12.0,26.0,10.0,5.0
18-11-2021,122.0,125.0,21.0,31.0,10.0,5.0
19-11-2021,129.0,125.0,6.0,29.0,10.0,6.0
20-11-2021,281.0,47.0,3.0,21.0,10.0,4.0
21-11-2021,121.0,51.0,3.0,24.0,10.0,5.0
22-11-2021,79.0,73.0,23.0,28.0,10.0,4.0
23-11-2021,104.0,121.0,12.0,27.0,10.0,6.0
24-11-2021,155.0,108.0,29.0,25.0,11.0,8.0
25-11-2021,162.0,102.0,38.0,28.0,10.0,6.0
26-11-2021,161.0,107.0,40.0,28.0,11.0,7.0
27-11-2021,163.0,104.0,40.0,24.0,10.0,8.0
28-11-2021,163.0,90.0,42.0,22.0,10.0,6.0
29-11-2021,157.0,100.0,38.0,24.0,10.0,7.0
30-11-2021,163.0,70.0,24.0,15.0,11.0,6.0
01-12-2021,153.0,56.0,25.0,15.0,9.0,6.0
02-12-2021,132.0,86.0,15.0,24.0,2.0,7.0
03-12-2021,150.0,109.0,2.0,21.0,1.0,12.0
04-12-2021,156.0,98.0,8.0,21.0,2.0,10.0
05-12-2021,145.0,96.0,27.0,22.0,1.0,6.0
06-12-2021,159.0,122.0,45.0,23.0,15.0,9.0
07-12-2021,183.0,122.0,33.0,24.0,23.0,8.0
08-12-2021,181.0,122.0,33.0,27.0,26.0,7.0
09-12-2021,179.0,113.0,39.0,25.0,28.0,7.0
10-12-2021,173.0,109.0,25.0,24.0,35.0,4.0
11-12-2021,231.0,128.0,40.0,29.0,36.0,8.0
12-12-2021,173.0,117.0,36.0,27.0,36.0,9.0
13-12-2021,162.0,139.0,28.0,28.0,36.0,7.0
14-12-2021,164.0,152.0,33.0,37.0,36.0,8.0
15-12-2021,182.0,166.0,35.0,42.0,36.0,11.0
16-12-2021,196.0,172.0,33.0,40.0,36.0,10.0
17-12-2021,197.0,168.0,38.0,36.0,36.0,10.0
18-12-2021,191.0,141.0,50.0,31.0,36.0,8.0
19-12-2021,182.0,127.0,49.0,26.0,36.0,8.0
20-12-2021,180.0,170.0,42.0,38.0,36.0,8.0
21-12-2021,187.0,134.0,22.0,36.0,36.0,11.0
22-12-2021,193.0,209.0,36.0,47.0,36.0,8.0
23-12-2021,188.0,134.0,21.0,28.0,36.0,7.0
24-12-2021,160.0,128.0,29.0,26.0,36.0,7.0
25-12-2021,158.0,138.0,33.0,32.0,36.0,8.0
26-12-2021,184.0,201.0,27.0,37.0,36.0,10.0
27-12-2021,185.0,153.0,30.0,33.0,27.0,8.0
28-12-2021,179.0,107.0,33.0,24.0,8.0,6.0
29-12-2021,154.0,106.0,34.0,21.0,7.0,5.0
30-12-2021,169.0,130.0,34.0,19.0,8.0,7.0
31-12-2021,196.0,95.0,46.0,18.0,11.0,8.0
01-01-2022,215.0,106.0,25.0,19.0,17.0,4.0
01-07-2021,95.0,83.0,3.0,12.0,4.0,1.0
02-07-2021,90.0,85.0,3.0,6.0,3.0,1.0
03-07-2021,81.0,63.0,3.0,6.0,3.0,1.0
04-07-2021,72.0,70.0,3.0,7.0,4.0,1.0
05-07-2021,90.0,60.0,3.0,6.0,3.0,2.0
06-07-2021,102.0,71.0,3.0,6.0,4.0,1.0
07-07-2021,69.0,48.0,3.0,8.0,3.0,3.0
08-07-2021,60.0,56.0,3.0,8.0,4.0,2.0
09-07-2021,66.0,48.0,3.0,15.0,3.0,2.0
10-07-2021,64.0,56.0,3.0,8.0,4.0,2.0
11-07-2021,49.0,131.0,3.0,9.0,3.0,2.0
12-07-2021,49.0,25.0,3.0,11.0,16.0,3.0
13-07-2021,51.0,30.0,3.0,6.0,6.0,3.0
14-07-2021,45.0,31.0,3.0,5.0,7.0,2.0
15-07-2021,42.0,68.0,3.0,5.0,7.0,2.0
16-07-2021,43.0,45.0,6.0,7.0,9.0,2.0
17-07-2021,51.0,11.0,3.0,3.0,10.0,1.0
18-07-2021,37.0,136.0,4.0,4.0,176.0,2.0
19-07-2021,192.0,54.0,3.0,1.0,146.0,2.0
20-07-2021,62.0,35.0,3.0,1.0,127.0,1.0
21-07-2021,50.0,49.0,3.0,19.0,104.0,4.0
22-07-2021,63.0,53.0,3.0,2.0,89.0,1.0
23-07-2021,71.0,49.0,3.0,1.0,77.0,1.0
24-07-2021,68.0,46.0,3.0,1.0,71.0,1.0
25-07-2021,67.0,58.0,3.0,19.0,69.0,1.0
26-07-2021,76.0,56.0,3.0,4.0,67.0,1.0
27-07-2021,120.0,53.0,3.0,6.0,65.0,1.0
28-07-2021,60.0,50.0,3.0,7.0,63.0,1.0
29-07-2021,63.0,62.0,3.0,6.0,61.0,1.0
30-07-2021,72.0,49.0,3.0,6.0,59.0,1.0
31-07-2021,58.0,45.0,3.0,5.0,59.0,1.0
01-08-2021,56.0,47.0,4.0,5.0,57.0,1.0
02-08-2021,63.0,94.0,2.0,6.0,55.0,1.0
03-08-2021,113.0,64.0,5.0,6.0,43.0,1.0
04-08-2021,54.0,90.0,2.0,9.0,10.0,2.0
05-08-2021,69.0,106.0,25.0,9.0,17.0,4.0
06-08-2021,79.0,105.0,3.0,9.0,10.0,3.0
07-08-2021,76.0,94.0,3.0,9.0,8.0,1.0
08-08-2021,90.0,84.0,4.0,9.0,8.0,1.0
09-08-2021,73.0,101.0,4.0,39.0,3.0,2.0
10-08-2021,81.0,79.0,3.0,13.0,2.0,1.0
11-08-2021,71.0,64.0,3.0,12.0,12.0,2.0
12-08-2021,73.0,63.0,4.0,12.0,13.0,2.0
13-08-2021,66.0,83.0,4.0,15.0,12.0,2.0
14-08-2021,80.0,30.0,3.0,9.0,14.0,4.0
15-08-2021,66.0,49.0,5.0,13.0,15.0,3.0
16-08-2021,79.0,63.0,4.0,15.0,14.0,2.0
17-08-2021,80.0,47.0,3.0,15.0,15.0,3.0
18-08-2021,75.0,40.0,3.0,12.0,15.0,2.0
19-08-2021,72.0,44.0,5.0,13.0,15.0,3.0
20-08-2021,76.0,67.0,5.0,16.0,13.0,2.0
21-08-2021,63.0,80.0,4.0,23.0,12.0,6.0
22-08-2021,75.0,68.0,6.0,7.0,13.0,3.0
23-08-2021,71.0,56.0,4.0,5.0,13.0,4.0
24-08-2021,52.0,106.0,25.0,19.0,17.0,4.0
07-09-2021,89.0,44.0,25.0,14.0,12.0,4.0
08-09-2021,62.0,73.0,25.0,9.0,14.0,4.0
09-09-2021,65.0,77.0,25.0,9.0,12.0,4.0
10-09-2021,65.0,60.0,25.0,8.0,18.0,4.0
11-09-2021,69.0,88.0,25.0,12.0,14.0,4.0
12-09-2021,74.0,151.0,25.0,9.0,14.0,4.0
13-09-2021,59.0,201.0,25.0,11.0,11.0,4.0
14-09-2021,107.0,112.0,25.0,10.0,16.0,4.0
15-09-2021,96.0,104.0,25.0,8.0,14.0,4.0
16-09-2021,85.0,159.0,25.0,6.0,16.0,4.0
17-09-2021,143.0,56.0,25.0,7.0,14.0,4.0
18-09-2021,66.0,293.0,25.0,5.0,20.0,4.0
19-09-2021,71.0,47.0,25.0,4.0,13.0,4.0
20-09-2021,37.0,215.0,25.0,12.0,17.0,4.0
21-09-2021,184.0,114.0,25.0,11.0,36.0,4.0
22-09-2021,92.0,172.0,25.0,11.0,3.0,4.0
23-09-2021,100.0,178.0,25.0,8.0,6.0,4.0
24-09-2021,95.0,107.0,25.0,13.0,17.0,4.0
