date,pm25,pm10,o3,no2,so2,co
01-05-2022,52,28.0,6.0,2.0,4.0,6.0
02-05-2022,58,30.0,5.0,2.0,3.0,6.0
03-05-2022,55,29.0,10.0,2.0,4.0,6.0
04-05-2022,55,23.0,11.0,2.0,4.0,6.0
05-05-2022,45,22.0,10.0,2.0,3.0,7.0
06-05-2022,39,31.0,7.0,2.0,4.0,6.0
07-05-2022,60,50.0,7.0,2.0,2.0,5.0
08-05-2022,81,52.0,11.0,2.0,3.0,8.0
09-05-2022,85,44.0,6.0,2.0,3.0,4.0
10-05-2022,67,34.0,7.0,2.0,4.0,5.0
11-05-2022,54,24.0,7.0,2.0,5.0,6.0
12-05-2022,40,28.0,8.0,2.0,3.0,5.0
13-05-2022,43,13.0,26.0,2.0,5.0,6.0
01-04-2022,74,29.0,7.0,24.0,6.0,3.0
02-04-2022,67,31.0,83.0,2.0,6.0,5.0
03-04-2022,73,31.0,7.0,2.0,2.0,6.0
04-04-2022,70,30.0,9.0,2.0,3.0,3.0
05-04-2022,65,25.0,8.0,2.0,3.0,3.0
06-04-2022,57,22.0,6.0,2.0,5.0,8.0
07-04-2022,44,26.0,6.0,2.0,3.0,7.0
08-04-2022,66,13.0,9.0,2.0,3.0,5.0
09-04-2022,33,8.0,4.0,2.0,2.0,4.0
10-04-2022,17,18.0,5.0,2.0,3.0,4.0
11-04-2022,42,23.0,4.0,2.0,2.0,6.0
12-04-2022,41,14.0,7.0,2.0,3.0,6.0
13-04-2022,28,15.0,4.0,2.0,3.0,8.0
14-04-2022,36,14.0,5.0,2.0,3.0,7.0
15-04-2022,37,14.0,6.0,2.0,3.0,9.0
16-04-2022,26,10.0,5.0,2.0,2.0,7.0
17-04-2022,21,12.0,5.0,2.0,5.0,6.0
18-04-2022,25,18.0,5.0,2.0,3.0,10.0
19-04-2022,37,26.0,6.0,2.0,4.0,7.0
20-04-2022,49,37.0,10.0,2.0,5.0,8.0
21-04-2022,70,24.0,6.0,2.0,5.0,7.0
22-04-2022,57,14.0,5.0,2.0,3.0,6.0
23-04-2022,22,12.0,6.0,2.0,4.0,6.0
24-04-2022,20,16.0,5.0,2.0,3.0,6.0
25-04-2022,32,28.0,6.0,2.0,5.0,7.0
26-04-2022,60,39.0,8.0,2.0,4.0,10.0
27-04-2022,82,29.0,7.0,2.0,3.0,10.0
28-04-2022,58,21.0,5.0,2.0,3.0,7.0
29-04-2022,48,23.0,10.0,2.0,3.0,6.0
30-04-2022,47,24.0,11.0,2.0,4.0,6.0
01-03-2022,104,45.0,8.0,3.0,2.0,6.0
02-03-2022,102,48.0,6.0,3.0,2.0,6.0
03-03-2022,116,49.0,6.0,3.0,1.0,7.0
04-03-2022,114,43.0,7.0,3.0,2.0,6.0
05-03-2022,101,39.0,6.0,3.0,2.0,3.0
06-03-2022,91,35.0,6.0,3.0,2.0,6.0
07-03-2022,87,36.0,6.0,3.0,1.0,4.0
08-03-2022,84,30.0,9.0,2.0,1.0,7.0
09-03-2022,73,43.0,12.0,2.0,2.0,6.0
10-03-2022,104,50.0,10.0,2.0,1.0,7.0
11-03-2022,126,49.0,8.0,2.0,2.0,5.0
12-03-2022,129,44.0,12.0,2.0,1.0,4.0
13-03-2022,113,43.0,8.0,2.0,2.0,6.0
14-03-2022,112,50.0,9.0,2.0,2.0,8.0
15-03-2022,125,47.0,9.0,2.0,2.0,6.0
16-03-2022,119,43.0,10.0,1.0,2.0,6.0
17-03-2022,107,45.0,7.0,1.0,1.0,6.0
18-03-2022,112,40.0,6.0,2.0,3.0,4.0
21-03-2022,76,34.0,5.0,2.0,2.0,5.0
