date,pm25,pm10,o3,no2,so2,co
01-03-2022,140.0,60.0,13.0,7.0,3.0,7.0
02-03-2022,127.0,112.0,4.0,9.0,5.0,9.0
03-03-2022,173.0,53.0,15.0,8.0,1.0,8.0
04-03-2022,126.0,125.0,8.0,9.0,6.0,10.0
05-03-2022,192.0,69.0,7.0,9.0,7.0,7.0
06-03-2022,149.0,55.0,5.0,8.0,5.0,7.0
07-03-2022,127.0,32.0,8.0,8.0,1.0,5.0
08-03-2022,82.0,84.0,7.0,3.0,1.0,7.0
10-03-2022,128.0,62.0,7.0,7.0,1.0,9.0
11-03-2022,126.0,65.0,3.0,7.0,1.0,8.0
12-03-2022,128.0,57.0,7.0,7.0,1.0,6.0
13-03-2022,117.0,55.0,12.0,8.0,2.0,6.0
01-02-2022,151.0,84.0,4.0,21.0,4.0,8.0
07-02-2022,142.0,48.0,1.0,6.0,6.0,7.0
08-02-2022,125.0,61.0,1.0,7.0,3.0,8.0
09-02-2022,155.0,74.0,6.0,7.0,2.0,9.0
10-02-2022,170.0,63.0,10.0,5.0,3.0,7.0
11-02-2022,142.0,81.0,4.0,6.0,2.0,7.0
12-02-2022,135.0,37.0,7.0,6.0,1.0,6.0
13-02-2022,87.0,68.0,4.0,6.0,1.0,7.0
14-02-2022,150.0,61.0,4.0,7.0,2.0,8.0
15-02-2022,142.0,73.0,1.0,8.0,3.0,7.0
17-02-2022,99.0,64.0,7.0,7.0,2.0,6.0
18-02-2022,114.0,58.0,11.0,7.0,3.0,7.0
19-02-2022,126.0,71.0,14.0,7.0,3.0,6.0
20-02-2022,149.0,55.0,6.0,7.0,2.0,7.0
21-02-2022,115.0,39.0,8.0,8.0,1.0,9.0
22-02-2022,93.0,33.0,3.0,8.0,1.0,8.0
23-02-2022,83.0,38.0,36.0,7.0,1.0,9.0
24-02-2022,91.0,74.0,10.0,7.0,5.0,7.0
25-02-2022,155.0,67.0,11.0,7.0,7.0,6.0
26-02-2022,137.0,73.0,9.0,7.0,1.0,5.0
27-02-2022,136.0,51.0,9.0,7.0,2.0,4.0
28-02-2022,108.0,71.0,8.0,7.0,2.0,6.0
03-01-2022,116.0,56.0,14.0,7.0,9.0,12.0
04-01-2022,138.0,77.0,14.0,7.0,10.0,13.0
05-01-2022,166.0,85.0,17.0,7.0,9.0,12.0
06-01-2022,176.0,77.0,14.0,7.0,7.0,10.0
07-01-2022,152.0,66.0,13.0,7.0,7.0,8.0
08-01-2022,139.0,49.0,12.0,7.0,8.0,7.0
09-01-2022,117.0,53.0,17.0,7.0,9.0,7.0
10-01-2022,130.0,48.0,12.0,7.0,8.0,8.0
11-01-2022,111.0,52.0,8.0,6.0,7.0,8.0
12-01-2022,116.0,54.0,9.0,7.0,8.0,8.0
13-01-2022,114.0,63.0,11.0,7.0,6.0,9.0
14-01-2022,122.0,43.0,9.0,7.0,5.0,7.0
15-01-2022,92.0,54.0,12.0,7.0,5.0,7.0
16-01-2022,118.0,53.0,9.0,6.0,5.0,7.0
17-01-2022,116.0,57.0,11.0,5.0,5.0,9.0
18-01-2022,126.0,55.0,12.0,5.0,5.0,9.0
19-01-2022,114.0,75.0,13.0,5.0,6.0,9.0
20-01-2022,151.0,78.0,9.0,5.0,6.0,9.0
21-01-2022,152.0,68.0,6.0,5.0,5.0,8.0
22-01-2022,138.0,50.0,5.0,5.0,4.0,6.0
23-01-2022,111.0,42.0,3.0,5.0,3.0,6.0
24-01-2022,101.0,63.0,16.0,5.0,2.0,5.0
25-01-2022,142.0,53.0,18.0,5.0,2.0,4.0
26-01-2022,124.0,52.0,18.0,5.0,3.0,5.0
27-01-2022,115.0,59.0,16.0,5.0,3.0,6.0
28-01-2022,123.0,69.0,12.0,5.0,5.0,8.0
29-01-2022,136.0,67.0,19.0,5.0,5.0,10.0
30-01-2022,137.0,101.0,11.0,7.0,6.0,10.0
31-01-2022,173.0,70.0,4.0,20.0,3.0,8.0
01-10-2021,48.0,25.0,2.0,8.0,3.0,8.0
02-10-2021,43.0,29.0,2.0,9.0,4.0,7.0
10-10-2021,63.0,35.0,2.0,8.0,3.0,8.0
24-10-2021,57.0,42.0,1.0,15.0,1.0,7.0
28-10-2021,83.0,44.0,1.0,13.0,2.0,7.0
01-11-2021,67.0,24.0,1.0,12.0,2.0,6.0
02-11-2021,48.0,40.0,1.0,17.0,4.0,7.0
03-11-2021,70.0,29.0,1.0,18.0,4.0,7.0
08-11-2021,74.0,40.0,1.0,15.0,6.0,8.0
09-11-2021,76.0,36.0,9.0,14.0,5.0,6.0
10-11-2021,68.0,36.0,15.0,12.0,4.0,7.0
11-11-2021,65.0,40.0,17.0,12.0,3.0,6.0
12-11-2021,76.0,46.0,3.0,13.0,4.0,7.0
13-11-2021,88.0,22.0,2.0,13.0,5.0,5.0
14-11-2021,39.0,38.0,2.0,12.0,5.0,6.0
15-11-2021,76.0,38.0,1.0,12.0,5.0,7.0
16-11-2021,81.0,52.0,2.0,11.0,6.0,8.0
17-11-2021,96.0,50.0,2.0,10.0,4.0,8.0
18-11-2021,114.0,48.0,3.0,10.0,4.0,8.0
19-11-2021,112.0,34.0,2.0,10.0,4.0,7.0
20-11-2021,87.0,34.0,2.0,10.0,6.0,7.0
21-11-2021,83.0,28.0,2.0,21.0,7.0,9.0
22-11-2021,73.0,27.0,3.0,15.0,7.0,8.0
23-11-2021,75.0,44.0,3.0,13.0,7.0,9.0
24-11-2021,109.0,51.0,4.0,15.0,8.0,9.0
25-11-2021,123.0,45.0,8.0,11.0,8.0,9.0
26-11-2021,111.0,50.0,12.0,14.0,7.0,8.0
27-11-2021,118.0,32.0,11.0,12.0,7.0,7.0
28-11-2021,81.0,24.0,6.0,11.0,5.0,7.0
29-11-2021,68.0,43.0,6.0,10.0,7.0,7.0
30-11-2021,110.0,31.0,9.0,10.0,6.0,8.0
